rank,id,score
1,1501,23068.937626980904
2,2643,22834.412109512938
3,3949,22834.412109512938
4,4185,22834.412109512938
5,786,22831.418049233755
6,2280,22831.418049233755
7,2814,22831.418049233755
8,3400,22831.418049233755
9,1040,22829.78273915
10,5045,22829.78273915
11,5077,3211.0085883838847
12,4061,2837.437267476239
13,2311,643.1745798935211
14,3199,527.2022093102124
15,4585,522.3052035350819
16,2645,509.5866515831927
17,2697,502.54085513511194
18,4494,498.68063660337333
19,3331,495.6013253595223
20,926,491.23004268274883
21,5455,491.1000489017735
22,2990,487.73160132680493
23,4190,487.1637144383899
24,4214,486.4408849198062
25,172,484.924192641969
26,5350,473.46646160936103
27,4132,473.3756391334029
28,4510,472.6822067971758
29,2625,471.88832298025227
30,2164,468.0666861561363
31,3979,464.6972645114696
32,1438,459.3798940949814
33,1812,457.8263496869597
34,882,457.3280459407465
35,1801,456.63832889053145
36,3608,456.29827089587667
37,4029,452.6081381452159
38,4088,449.29500810365585
39,4371,447.5607168446771
40,251,435.1299218687749
41,2536,433.9769953520311
42,3651,391.2331860881786
43,4971,371.73124596005846
44,1657,371.538658770492
45,4475,360.0497963368401
46,374,358.6910614260818
47,2888,354.229732580832
48,4784,353.675152543715
49,1699,352.51804234216456
50,3482,350.42477136457774
51,2447,346.71169897497543
52,5026,346.65542493439807
53,3783,346.32736262904916
54,1290,346.05646768930137
55,3219,343.693384936291
56,1061,342.29238702895714
57,2283,341.76784481744164
58,4594,341.7079570144648
59,2967,339.68766125651786
60,3830,338.1121218099769
61,2180,335.17464829776605
62,1419,334.12259857287285
63,3216,333.2162357573659
64,1090,332.6542369325908
65,5187,331.95060933392404
66,2805,327.87205681749754
67,4151,327.0523645195753
68,2141,326.78386495025785
69,2877,324.8724505926665
70,5159,322.9445671750491
71,2560,322.7082048856178
72,1088,322.66892844701954
73,909,322.2932729821889
74,2126,321.54784842612
75,294,321.3005168506036
76,4228,317.41619617457957
77,2691,316.82291760919566
78,3361,316.03330984453214
79,4416,315.68038449007554
80,3359,315.014386516603
81,4168,312.74353185318853
82,648,312.49486939335964
83,5092,312.23849369153504
84,4338,311.18176819025064
85,5389,309.51738341064765
86,458,308.8505687335187
87,4593,307.8381235447881
88,4683,307.59031477620766
89,4040,306.3855764103611
90,3840,305.4627966244393
91,4873,305.34060266982544
92,469,304.74457064614046
93,2993,303.15904836284886
94,595,301.19755385922986
95,5043,301.1165746223284
96,756,300.9739252015012
97,4888,300.37222878299315
98,526,299.381202000498
99,4774,298.7817761241748
100,4453,297.65231964448003
101,491,297.25427418254884
102,2450,295.57640522561235
103,1024,295.50188931703315
104,5182,295.09515303852885
105,908,293.4162184465788
106,2204,293.2138732335469
107,4941,292.1549323604685
108,1006,291.88853580162447
109,1407,290.9586987379979
110,2084,290.5526476642563
111,4345,287.96371174710276
112,3419,287.9550242944567
113,3406,286.7192529595187
114,81,285.15272216301264
115,3529,284.9864432846105
116,1332,284.43122600764366
117,4252,284.1914721654734
118,3488,283.9938089548855
119,3023,283.2310734461986
120,4827,282.99829481574056
121,2436,282.909397989545
122,5520,282.2167848797701
123,3820,281.52716541258553
124,1588,280.12349797349054
125,1184,278.2598427764563
126,1207,277.9930860398849
127,3442,277.78918458009804
128,744,276.31271517337
129,913,275.9526494438067
130,3837,275.8382411568825
131,1772,274.0153320126881
132,5334,273.95369266387456
133,4344,272.88175117151104
134,1730,272.5190136608162
135,4303,272.22304998452296
136,2986,271.3638795464455
137,1449,271.2057349806813
138,3550,270.11532521704896
139,5403,269.19842336608707
140,2655,269.1707067996442
141,3676,268.1155047407914
142,1731,266.8665240749295
143,4470,266.40623984686647
144,2172,266.1719683332568
145,134,265.7998897590061
146,1769,265.64065897952537
147,3127,265.4213257999498
148,3333,264.82183997131636
149,3622,264.33785399940166
150,3031,264.0440520932336
151,5352,263.43278355013103
152,4677,262.6680026893784
153,3639,259.2039104198143
154,2343,259.10916689941763
155,4330,257.4769534586564
156,3760,257.4503611974102
157,2873,256.774237093375
158,2130,256.5655297354748
159,1125,256.4031032819396
160,520,256.07018489679535
161,3645,255.56414681372638
